400 m gát;N;Egyesült Államok;Kori Carter;53,07;;1
3000 m akadály;N;Egyesült Államok;Emma Coburn;09:02,6;CR;1
20 km gyaloglás;N;Kína;Yang Jiayu;1:26:18;PB;1
50 km gyaloglás;N;Portugália;In?s Henriques;4:05:56;WR;1
maraton;N;Bahrein;Rose Chelimo;2:27:11;;1
hétpróba;N;Belgium;Nafissatou Thiam;6784;;1
magasugrás;N;Ukrajna;Julija Levcsenko;2,01 m;PB;2
távolugrás;N;ANA;Darja Klisina;7,00 m;SB;2
hármasugrás;N;Kolumbia;Caterine Ibargüen;14,89 m;SB;2
rúdugrás;N;Egyesült Államok;Sandi Morris;4,75;;2
diszkoszvetés;N;Ausztrália;Dani Stevens;69,64 m;;2
gerelyhajítás;N;Kína;Li Lingwei;66,25 m;PB;2
súlylökés;N;Magyarország;Márton Anita;19,49 m;;2
kalapácsvetés;N;Kína;Vang Cseng;75,98 m;;2
100 m;N;Elefántcsontpart;Marie-Josée Ta Lou;10,86;PB;2
200 m;N;Elefántcsontpart;Marie-Josée Ta Lou;22,08;NR;2
400 m;N;Bahrein;Salwa Eid Naser;50,06;NR;2
800 m;N;Burundi;Francine Niyonsaba;01:55,9;;2
1500 m;N;Egyesült Államok;Jennifer Simpson;04:02,8;;2
5000 m;N;Etiópia;Almaz Ayana;14:40,4;SB;2
10 000 m;N;Etiópia;Tirunesh Dibaba;31:02,7;SB;2
100 m gát;N;Egyesült Államok;Dawn Harper-Nelson;12,63;SB;2
400 m gát;N;Egyesült Államok;Dalilah Muhammad;53,5;;2
3000 m akadály;N;Egyesült Államok;Courtney Frerichs;09:03,8;PB;2
20 km gyaloglás;N;Mexikó;Lupita González;1:26:19;SB;2
50 km gyaloglás;N;Kína;Hang Yin;4:08:58;AR;2
maraton;N;Kenya;Edna Ngeringwony Kiplagat;2:27:18;;2
hétpróba;N;Németország;Carolin Schäfer;6696;;2
magasugrás;N;Lengyelország;Kamila Liæwinko;1,99 m;SB;3
távolugrás;N;Egyesült Államok;Tianna Bartoletta;6,97 m;;3
hármasugrás;N;Kazahsztán;Olga Ripakova;14,77 m;SB;3
rúdugrás;N;Venezuela;Robeilys Peinado;4,65;NR;3
rúdugrás;N;Kuba;Yarisley Silva;4,65;;3
diszkoszvetés;N;Franciaország;Mélina Robert-Michon;66,21 m;SB;3
gerelyhajítás;N;Kína;Lu Huihui;65,26 m;;3
súlylökés;N;Egyesült Államok;Michelle Carter;19,14 m;;3
kalapácsvetés;N;Lengyelország;Malwina Kopron;74,76 m;;3
100 m;N;Hollandia;Dafne Schippers;10,96;;3
200 m;N;Bahama-szigetek;Shaunae Miller-Uibo;22,15;;3
400 m;N;Egyesült Államok;Allyson Felix;50,08;;3
800 m;N;Egyesült Államok;Ajee Wilson;01:56,6;;3
1500 m;N;Dél-afrikai Köztársaság;Caster Semenya;04:02,9;;3
5000 m;N;Hollandia;Sifan Hassan;14:42,7;;3
10 000 m;N;Kenya;Agnes Jebet Tirop;31:03,5;PB;3
100 m gát;N;Németország;Pamela Dutkiewicz;12,72;;3
400 m gát;N;Jamaica;Ristananna Tracey;53,74;PB;3
3000 m akadály;N;Kenya;Hyvin Jepkemoi;09:04,0;;3
20 km gyaloglás;N;Olaszország;Antonella Palmisano;1:26:36;PB;3
50 km gyaloglás;N;Kína;Shuqing Yang;4:20:49;PB;3
maraton;N;Egyesült Államok;Amy Cragg;2:27:18;;3
hétpróba;N;Hollandia;Anouk Vetter;6636;;3
